        modelid          error            lnP         weight           tanb            M_1            M_2            M_3             At             Ab           Atau             mu             mA            meL           mmuL          mtauL            meR           mmuR          mtauR           mqL1           mqL2           mqL3            muR            mcR            mtR            mdR            msR            mbR            m_W           m_h0           m_A0           m_H0           m_Hp            g_1            g_2        Gamma_Z         m_Neu1         m_Neu2         m_Neu3         m_Neu4          m_Ch1          m_Ch2           N_13           N_14       m_gluino         m_st_1         m_st_2         m_sb_1         m_sb_2         m_ss_L         m_ss_R         m_sc_L         m_sc_R         m_su_L         m_su_R         m_sd_L         m_sd_R       m_stau_1       m_stau_2        m_smu_L        m_smu_R         m_se_L         m_se_R        m_snu_t       m_snu_mL       m_snu_eL        HB_excl          dm_h0          dm_A0          dm_H0          dm_Hp            LEP            Oh2       Oh2_bino     Oh2_hsino1     Oh2_hsino2       Oh2_wino           a_mu           drho            bsg         Bsmumu         Btaunu      sigma_nSD      sigma_nSI      sigma_pSD      sigma_pSI
      300000810   0.000000e+00   0.000000e+00   1.000000e+00   3.830000e+01  -6.306500e+02  -3.850580e+03   2.286170e+03  -2.884110e+03   9.869800e+02   3.467480e+03   2.488200e+03   3.589970e+03   3.114850e+03   3.114850e+03   2.008870e+03   1.489320e+03   1.489320e+03   1.507680e+03   9.910800e+02   9.910800e+02   1.446790e+03   1.995600e+03   1.995600e+03   9.825900e+02   2.433590e+03   2.433590e+03   6.707500e+02   8.039649e+01   1.246514e+02   3.589967e+03   3.588182e+03   3.589657e+03   3.618868e-01   6.336015e-01   0.000000e+00   6.317702e+02   2.477253e+03   2.480108e+03   3.820964e+03   2.477690e+03   3.821128e+03   1.932357e-02   4.159238e-03   2.267366e+03   9.085375e+02   1.468714e+03   6.549383e+02   1.409167e+03   9.224243e+02   2.456400e+03   9.191748e+02   2.031092e+03   9.191748e+02   2.031092e+03   9.224243e+02   2.456400e+03   1.515913e+03   1.999565e+03   3.109085e+03   1.477697e+03   3.109085e+03   1.477697e+03   1.994604e+03   3.107777e+03   3.107777e+03   0.000000e+00   1.571252e+00   0.000000e+00   4.844905e-01   9.548182e-03   0.000000e+00   8.770000e-02   1.000000e+00   1.900000e-02   4.000000e-03  -0.000000e+00  -4.620000e-11   7.010000e-05   3.060000e-04   3.580000e-09   1.027872e-04   2.178000e-09   2.645000e-10   2.787000e-09   2.653000e-10
       30000956   0.000000e+00   0.000000e+00   1.000000e+00   1.453000e+01  -2.659300e+02   1.057030e+03   2.814040e+03   4.702520e+03   1.769940e+03   2.079980e+03   2.809000e+02   2.592540e+03   2.900490e+03   2.900490e+03   3.803130e+03   2.065300e+02   2.065300e+02   4.135000e+02   6.821200e+02   6.821200e+02   3.736200e+03   2.596380e+03   2.596380e+03   2.868460e+03   1.460380e+03   1.460380e+03   6.590300e+02   8.039544e+01   1.279450e+02   2.592539e+03   2.592291e+03   2.593867e+03   3.659347e-01   6.403899e-01   0.000000e+00   2.435095e+02   2.864214e+02   3.081174e+02   1.076022e+03   2.865049e+02   1.076195e+03   4.069065e-01   3.347946e-01   2.917028e+03   2.883395e+03   3.781324e+03   9.188994e+02   3.770572e+03   9.551482e+02   1.627614e+03   9.518510e+02   2.706941e+03   9.518510e+02   2.706941e+03   9.551482e+02   1.627614e+03   4.802495e+02   3.806901e+03   2.903281e+03   3.279941e+02   2.903281e+03   3.279941e+02   3.805769e+03   2.901905e+03   2.901905e+03   0.000000e+00   1.056613e+00   0.000000e+00   1.884116e-02   4.031225e-03   0.000000e+00   7.580000e-02   8.500000e-01   4.070000e-01   3.350000e-01   1.800000e-02   2.630000e-10   1.250000e-06   3.710000e-04   3.040000e-09   1.029936e-04   9.493000e-05   3.946000e-09   1.230000e-04   3.891000e-09
      300012212   0.000000e+00   0.000000e+00   1.000000e+00   2.051000e+01   4.622100e+02  -2.342290e+03   4.118300e+02   3.044840e+03  -1.540410e+03   2.770950e+03  -1.565120e+03   1.857450e+03   1.145950e+03   1.145950e+03   1.402840e+03   1.015060e+03   1.015060e+03   1.593790e+03   4.093200e+02   4.093200e+02   1.874290e+03   3.153220e+03   3.153220e+03   3.602900e+03   1.148920e+03   1.148920e+03   1.870480e+03   8.039400e+01   1.241918e+02   1.857449e+03   1.857424e+03   1.859393e+03   3.647588e-01   6.391151e-01   0.000000e+00   4.563068e+02   1.572339e+03   1.578251e+03   2.312132e+03   1.572989e+03   2.312303e+03  -2.975875e-02  -7.140691e-03   5.119915e+02   1.905810e+03   3.591116e+03   1.873498e+03   1.920349e+03   5.138590e+02   1.170210e+03   5.081418e+02   3.182393e+03   5.081418e+02   3.182393e+03   5.138590e+02   1.170210e+03   1.422198e+03   1.598037e+03   1.173544e+03   1.025980e+03   1.173544e+03   1.025980e+03   1.422595e+03   1.170639e+03   1.170639e+03   0.000000e+00   9.502604e-01   0.000000e+00   5.753888e-03   6.519784e-04   0.000000e+00   5.710000e-02   1.000000e+00  -3.000000e-02  -7.000000e-03   0.000000e+00   5.630000e-11   1.990000e-06   3.570000e-04   3.060000e-09   1.023744e-04   1.374000e-07   5.661000e-11   3.349000e-09   4.776000e-11
      300015463   0.000000e+00   0.000000e+00   1.000000e+00   4.684000e+01   4.800300e+02   3.062150e+03   1.337130e+03  -4.100780e+03  -3.740650e+03  -3.518810e+03   2.158920e+03   2.258550e+03   1.971390e+03   1.971390e+03   2.533320e+03   2.320810e+03   2.320810e+03   2.694700e+03   2.335500e+02   2.335500e+02   2.240180e+03   2.794000e+02   2.794000e+02   3.338000e+03   2.961020e+03   2.961020e+03   3.871070e+03   8.038254e+01   1.262151e+02   2.258550e+03   2.258007e+03   2.258090e+03   3.648205e-01   6.367486e-01   0.000000e+00   4.703430e+02   2.162276e+03   2.166766e+03   3.029350e+03   2.162731e+03   3.029517e+03   2.142991e-02  -5.206154e-03   1.476654e+03   2.284040e+03   3.317818e+03   2.292751e+03   3.881829e+03   5.254861e+02   2.999938e+03   5.194612e+02   4.958324e+02   5.194612e+02   4.958324e+02   5.254861e+02   2.999938e+03   2.538292e+03   2.686474e+03   1.998486e+03   2.322213e+03   1.998486e+03   2.322213e+03   2.547725e+03   1.996656e+03   1.996656e+03   0.000000e+00   1.185041e+00   0.000000e+00   7.162277e-02   1.415874e-01   0.000000e+00   4.970000e-02   1.000000e+00   2.100000e-02  -5.000000e-03  -0.000000e+00   1.120000e-10   1.530000e-06   3.380000e-04   3.660000e-09   1.006200e-04   7.304000e-05   4.478000e-09   3.062000e-04   1.069000e-08
      300019188   0.000000e+00   0.000000e+00   1.000000e+00   2.420000e+01   1.025800e+03  -2.964040e+03   1.684610e+03   2.683340e+03   3.466580e+03  -1.596090e+03  -1.608560e+03   3.841910e+03   2.024430e+03   2.024430e+03   3.678490e+03   1.111310e+03   1.111310e+03   1.856880e+03   9.322400e+02   9.322400e+02   1.258640e+03   2.064210e+03   2.064210e+03   2.571160e+03   1.009150e+03   1.009150e+03   2.489100e+03   8.041121e+01   1.248480e+02   3.841920e+03   3.841738e+03   3.842345e+03   3.634078e-01   6.361202e-01   0.000000e+00   1.018368e+03   1.609241e+03   1.614393e+03   2.934769e+03   1.610123e+03   2.934934e+03  -4.343276e-02  -2.612916e-02   1.749565e+03   1.353823e+03   2.586064e+03   1.357387e+03   2.530075e+03   1.028590e+03   1.093573e+03   1.025632e+03   2.116427e+03   1.025632e+03   2.116427e+03   1.028590e+03   1.093573e+03   1.862847e+03   3.687555e+03   2.038103e+03   1.112213e+03   2.038103e+03   1.112213e+03   3.686329e+03   2.036261e+03   2.036261e+03   0.000000e+00   9.728674e-01   0.000000e+00   9.544653e-02   1.286836e-02   0.000000e+00   5.890000e-02   9.990000e-01  -4.300000e-02  -2.600000e-02   0.000000e+00   6.740000e-11   4.920000e-06   3.230000e-04   3.090000e-09   1.028904e-04   9.754000e-07   2.433000e-08   2.474000e-07   2.261000e-08
      300024188   0.000000e+00   0.000000e+00   1.000000e+00   7.740000e+00   6.875100e+02  -1.876820e+03   1.052530e+03   4.690500e+03  -7.867800e+02   1.462680e+03   6.819500e+02   1.466360e+03   3.926060e+03   3.926060e+03   2.475910e+03   9.623800e+02   9.623800e+02   6.718300e+02   1.004910e+03   1.004910e+03   3.637730e+03   1.989140e+03   1.989140e+03   3.905980e+03   3.314540e+03   3.314540e+03   3.482110e+03   8.039652e+01   1.251848e+02   1.466373e+03   1.466590e+03   1.468955e+03   3.662246e-01   6.394469e-01   0.000000e+00   6.494769e+02   6.964408e+02   7.239169e+02   1.882695e+03   6.978296e+02   1.882864e+03   4.168305e-01  -3.947425e-01   1.238531e+03   3.614226e+03   3.872526e+03   3.521365e+03   3.643500e+03   1.128948e+03   3.354243e+03   1.126435e+03   2.028047e+03   1.126435e+03   2.028047e+03   1.128948e+03   3.354243e+03   7.014239e+02   2.490607e+03   3.936394e+03   9.838446e+02   3.936394e+03   9.838446e+02   2.489082e+03   3.935300e+03   3.935300e+03   0.000000e+00   1.074679e+00   0.000000e+00   3.435359e-02   4.207133e-02   0.000000e+00   8.190000e-02   8.190000e-01   4.170000e-01  -3.950000e-01   1.400000e-02  -2.940000e-11   9.680000e-07   3.430000e-04   3.050000e-09   1.029936e-04   1.050000e-05   1.096000e-08   1.334000e-05   1.070000e-08
      300031934   0.000000e+00   0.000000e+00   1.000000e+00   2.108000e+01  -2.247600e+02   2.525100e+03   3.200060e+03  -3.371130e+03  -5.036000e+02   7.205700e+02  -2.431800e+02   1.249530e+03   1.176530e+03   1.176530e+03   3.037730e+03   2.661830e+03   2.661830e+03   2.322960e+03   9.276200e+02   9.276200e+02   2.277400e+03   3.593160e+03   3.593160e+03   1.581570e+03   1.520150e+03   1.520150e+03   1.419510e+03   8.038046e+01   1.260820e+02   1.249527e+03   1.249530e+03   1.252352e+03   3.637894e-01   6.384281e-01   0.000000e+00   2.030518e+02   2.505897e+02   2.740656e+02   2.498772e+03   2.503857e+02   2.498937e+03  -4.365164e-01   3.615550e-01   3.184014e+03   1.561852e+03   2.330879e+03   1.457774e+03   2.309701e+03   9.758719e+02   1.564339e+03   9.726988e+02   3.641049e+03   9.726988e+02   3.641049e+03   9.758719e+02   1.564339e+03   2.319516e+03   3.049626e+03   1.198857e+03   2.660539e+03   1.198857e+03   2.660539e+03   3.048291e+03   1.195998e+03   1.195998e+03   0.000000e+00   1.246702e+00   0.000000e+00   2.804348e-03   2.863008e-03   0.000000e+00   7.050000e-02   8.240000e-01  -4.370000e-01   3.620000e-01   1.100000e-02  -1.460000e-10   4.320000e-06   3.660000e-04   2.880000e-09   1.015488e-04   1.188000e-04   1.030000e-08   1.545000e-04   9.949000e-09
      300040226   0.000000e+00   0.000000e+00   1.000000e+00   5.160000e+00   7.002000e+01  -1.528290e+03   3.325470e+03  -4.158940e+03  -1.364020e+03  -1.660480e+03   1.372100e+02   1.323920e+03   1.968010e+03   1.968010e+03   7.367300e+02   1.959580e+03   1.959580e+03   4.634500e+02   9.292400e+02   9.292400e+02   2.416200e+03   1.839700e+03   1.839700e+03   1.931800e+03   3.076490e+03   3.076490e+03   3.828050e+03   8.038170e+01   1.243322e+02   1.323921e+03   1.324390e+03   1.326587e+03   3.646267e-01   6.403266e-01   0.000000e+00   5.663279e+01   1.443977e+02   1.601373e+02   1.525916e+03   1.440794e+02   1.526080e+03   3.490794e-01  -1.929264e-01   3.329926e+03   1.893017e+03   2.479876e+03   2.446697e+03   3.882383e+03   1.018341e+03   3.146362e+03   1.015530e+03   1.907476e+03   1.015530e+03   1.907476e+03   1.018341e+03   3.146362e+03   4.815254e+02   7.580369e+02   1.977919e+03   1.965521e+03   1.977919e+03   1.965521e+03   7.539675e+02   1.976175e+03   1.976175e+03   0.000000e+00   1.500096e+00   0.000000e+00   6.317644e-02   1.520990e-02   0.000000e+00   1.190000e-02   9.170000e-01   3.490000e-01  -1.930000e-01   1.300000e-02  -2.820000e-11   6.790000e-06   3.430000e-04   3.060000e-09   1.030968e-04   2.303000e-04   4.678000e-09   2.990000e-04   4.567000e-09
      300051343   0.000000e+00   0.000000e+00   1.000000e+00   5.118000e+01   6.327000e+02  -1.203610e+03   5.396600e+02  -2.974190e+03   2.342500e+03   2.593490e+03  -1.100430e+03   3.584030e+03   2.466790e+03   2.466790e+03   3.936230e+03   3.870590e+03   3.870590e+03   1.376820e+03   3.288550e+03   3.288550e+03   2.912900e+03   2.083940e+03   2.083940e+03   1.845470e+03   1.506600e+03   1.506600e+03   3.201340e+03   8.038800e+01   1.253360e+02   3.584033e+03   3.580325e+03   3.578893e+03   3.642386e-01   6.370842e-01   0.000000e+00   6.281320e+02   1.093962e+03   1.116053e+03   1.270827e+03   1.094734e+03   1.271069e+03  -5.833502e-02  -3.226721e-02   6.845645e+02   1.828579e+03   2.923576e+03   2.913216e+03   3.218012e+03   3.326304e+03   1.529461e+03   3.325478e+03   2.105049e+03   3.325478e+03   2.105049e+03   3.326304e+03   1.529461e+03   1.399673e+03   3.938494e+03   2.473320e+03   3.875577e+03   2.473320e+03   3.875577e+03   3.937256e+03   2.471721e+03   2.471721e+03   0.000000e+00   9.310116e-01   0.000000e+00   2.514430e-01   2.680430e-01   0.000000e+00   5.650000e-02   9.980000e-01  -5.800000e-02  -3.200000e-02   1.000000e-03   2.220000e-10   1.990000e-06   3.680000e-04   2.630000e-09   1.020648e-04   1.828000e-07   5.496000e-11   1.761000e-07   5.539000e-11
      300055663   0.000000e+00   0.000000e+00   1.000000e+00   5.451000e+01   1.089650e+03   3.714970e+03   1.825020e+03  -3.449510e+03  -2.584400e+03  -8.419400e+02   1.870550e+03   3.903990e+03   1.313630e+03   1.313630e+03   2.260180e+03   2.827080e+03   2.827080e+03   2.837590e+03   3.344150e+03   3.344150e+03   1.691260e+03   2.846560e+03   2.846560e+03   3.503720e+03   1.357710e+03   1.357710e+03   9.723300e+02   8.039450e+01   1.255491e+02   3.903989e+03   3.903184e+03   3.902619e+03   3.641019e-01   6.345539e-01   0.000000e+00   1.082256e+03   1.870002e+03   1.871893e+03   3.689953e+03   1.869820e+03   3.690117e+03   3.597364e-02  -2.144352e-02   1.993465e+03   1.788392e+03   3.506409e+03   1.082836e+03   1.795513e+03   3.403716e+03   1.458201e+03   3.402921e+03   2.895780e+03   3.402921e+03   2.895780e+03   3.403716e+03   1.458201e+03   2.270123e+03   2.826157e+03   1.331831e+03   2.830929e+03   1.331831e+03   2.830929e+03   2.271413e+03   1.329166e+03   1.329166e+03   0.000000e+00   1.203972e+00   0.000000e+00   6.589733e-01   4.976779e-02   0.000000e+00   5.070000e-02   9.990000e-01   3.600000e-02  -2.100000e-02  -1.000000e-03   1.630000e-10   3.840000e-06   3.150000e-04   3.570000e-09   1.023744e-04   5.011000e-08   1.220000e-09   3.313000e-08   1.216000e-09
