#SM particles
d 1
u 2
s 3
c 4
b 5
t 6
e 11
nu_e 12
mu 13
nu_mu 14
tau 15
nu_tau 16
gluon 21
gamma 22
Z 23
W 24
h0 25
H0 35
A0 36
Hp 37
#SUSY particles
sd_L 1000001
su_L 1000002
ss_L 1000003
sc_L 1000004
sb_1 1000005
st_1 1000006
se_L 1000011
snu_eL 1000012
smu_L 1000013
snu_mL 1000014
stau_1 1000015
snu_t 1000016
sd_R 2000001
su_R 2000002
ss_R 2000003
sc_R 2000004
sb_2 2000005
st_2 2000006
se_R 2000011
smu_R 2000013
stau_2 2000015
gluino 1000021
Neu1 1000022
Neu2 1000023
Ch1 1000024
Neu3 1000025
Neu4 1000035
Ch2 1000037
Gr 1000039
